,title,dialog_node
0,그만,0
1,실망및질책,1
2,일은잘하니,2
3,웃음,3
4,사과,4
5,감사,5
6,고객기분나쁨,6
7,고객기분좋음,7
8,수긍,8
9,노래,9
10,모바일쿠폰문의,10
11,회원정보변경,11
12,이름변경,12
13,정보메일수신거부,13
14,회원등급조건,14
15,회원최고등급,15
16,회원최하등급,16
17,회원가입혜택안내,17
18,회원탈퇴안내,18
19,회원ID분실,19
20,회원비밀번호분실,20
21,회원가입불가시,21
22,회원약관안내,22
23,탈퇴재가입가능여부,23
24,탈퇴재가입혜택이동,24
25,동원몰회원제,25
26,체험단이벤트안내,26
27,체험단배송안내,27
28,체험단배송비결제안내,28
29,체험단당첨안내,29
30,당첨경품배송,30
31,이달의이벤트안내,31
32,상품평혜택안내,32
33,현금영수증신청가능결제수단,33
34,현금영수증신청방법,34
35,현금영수증발급내역열람,35
36,현금영수증명의,36
37,발행종류,37
38,세금계산서요청방법,38
39,세금계산서금액기준,39
40,세금계산서공급자표시,40
41,세금계산서발행일자표시,41
42,세금계산서마감,42
43,세금계산서요청사업자등록증,43
44,제품색변화,44
45,제품보관법,45
46,레시피등록,46
47,고객만족센터연락처,47
48,고객만족센터운영시간,48
49,고객만족센터전화불통,49
50,문의내역확인,50
51,상품QA수정,51
52,직접문의안내,52
53,지금바로처리,53
54,클레임접수,54
55,해결불가건,55
56,임직원몰안내,56
57,임직원몰이동방법,57
58,임직원몰혜택,58
59,임직원포인트안내,59
60,임직원인증방법,60
61,회사위치,61
62,이달의기획전안내,62
63,타사문의,63
64,회사연락처,64
65,동원홈페이지,65
66,동원몰홈페이지,66
67,동원소개,67
68,대표이사안내,68
69,동원몰소개,69
70,동원몰앱안내,70
71,입점문의,71
72,동원몰상품문의,72
73,동원몰매출,73
74,전체카테고리안내,74
75,동원입사,75
76,임박상품,76
77,천지인상품추천,77
78,코스트코구매혜택,78
79,동원브랜드및상품소개,79
80,참치상품안내,80
81,동원참치원산지,81
82,만두상품안내,82
83,리챔상품안내,83
84,쎈쿡상품안내,84
85,김치상품안내,85
86,샘물상품안내,86
87,동원몰베스트상품소개,87
88,카테고리베스트안내-가공.즉석.냉동,88
89,카테고리베스트안내-유아동.도서,89
90,카테고리베스트안내-가전.사무.디지털,90
91,카테고리베스트안내-모바일쿠폰,91
92,카테고리베스트안내-코스트코,92
93,카테고리베스트안내-김치.반찬.소스,93
94,카테고리베스트안내-쌀.과일.채소.견과,94
95,카테고리베스트안내-수산,95
96,카테고리베스트안내-축산,96
97,카테고리베스트안내-건식.다이어트,97
98,카테고리베스트안내-생활,98
99,카테고리베스트안내-주방,99
100,카테고리베스트안내-화장품.바디.헤어,100
101,동원몰강점,101
102,농담,102
103,증시,103
104,날짜및시간,104
105,뭐먹었어,105
106,음식추천,106
107,뭐해,107
108,사랑해,108
109,심심해,109
110,시사상식,110
111,주문절차안내,111
112,주문내용확인,112
113,주문상품변경,113
114,주문후주소지변경,114
115,비회원주문,115
116,여러상품주문,116
117,대량주문안내,117
118,품절일시품절상품구입,118
119,상품가격차이,119
120,주문취소방법안내,120
121,결제방법안내,121
122,휴대폰결제안내,122
123,무이자신용카드,123
124,결제방법변경,124
125,입금확인안내,125
126,입금자명불일치안내,126
127,공인인증서의무사용안내,127
128,현금결제방법안내,128
129,결제지연경우안내,129
130,적립금안내,130
131,적립금결제안내,131
132,적립금소멸안내,132
133,쿠폰안내,133
134,쿠폰결제안내,134
135,쿠폰소멸안내,135
136,받을수있는쿠폰안내,136
137,적립금사용환원안내,137
138,쿠폰사용환원안내,138
139,씨앗사용환원안내,139
140,교환요청,140
141,교환정책,141
142,교환회수날짜지정,142
143,다른상품교환,143
144,반품요청,144
145,비회원반품,145
146,반품절차,146
147,일부취소반품,147
148,반품주소문의,148
149,환불요청,149
150,취소반품여부,150
151,환불소요기간,151
152,환불절차,152
153,묶음배송,153
154,밴드배송안내,154
155,쿨밴드배송안내,155
156,배송비부담기준안내,156
157,반품배송비안내,157
158,배송정책,158
159,도서산간지역배송,159
160,비회원배송확인,160
161,무료배송안내,161
162,배송일지정불가안내,162
163,배송기간안내,163
164,배송누락,164
165,상품수령후발송완료문자,165
166,상품문의,166
167,동원선물세트특판,167
168,양반명품김치상품권등록,168
169,임직원복지포인트미지급,169
170,쨈색변하는이유,170
171,신규가입혜택다운,171
172,로그인방법,172
173,택배사문의,173
174,참치통조림기름섭취,174
175,GNC선물세트특판,175
176,양반명품김치상품권안내,176
177,아직인증못했어요,177
178,쎈쿡용기환경호르몬,178
179,리챔내용물쉽게꺼내는방법,179
180,천지인선물세트특판,180
181,회원가입안내,181
182,자연한입고구마하얀가루,182
183,동원천지인백수오사용,183
184,임산부참치통조림,184
185,어린이홍삼안전성,185
186,이미회원인경우,186
