title,dialog_node
그만,0
실망및질책,1
일은잘하니,2
웃음,3
사과,4
감사,5
고객기분나쁨,6
고객기분좋음,7
어려움,8
도와줘,9
수긍,10
맞장구,11
노래,12
모바일쿠폰문의,13
기프티모아_선물세트,14
회원정보변경,15
이름변경,16
정보메일수신거부,17
회원등급조건,18
회원최고등급,19
회원최하등급,20
회원가입혜택안내,21
회원탈퇴안내,22
회원ID분실,23
회원비밀번호분실,24
회원가입불가시,25
회원약관안내,26
탈퇴재가입가능여부,27
탈퇴재가입혜택이동,28
동원몰회원제,29
체험단이벤트안내,30
체험단배송안내,31
체험단배송비결제안내,32
체험단당첨안내,33
당첨경품배송,34
이달의이벤트안내,35
GNC골드회원안내,36
GNC골드회원가입,37
GNC골드회원갱신,38
GNC골드회원이용,39
GNC골드회원인증,40
GNC골드회원혜택,41
상품평혜택안내,42
현금영수증신청가능결제수단,43
현금영수증신청방법,44
현금영수증발급내역열람,45
현금영수증명의,46
발행종류,47
세금계산서요청방법,48
세금계산서금액기준,49
세금계산서공급자표시,50
세금계산서발행일자표시,51
세금계산서마감,52
세금계산서요청사업자등록증,53
제품색변화,54
제품보관법,55
레시피등록,56
고객만족센터연락처,57
고객만족센터운영시간,58
고객만족센터전화불통,59
문의내역확인,60
상품QA수정,61
직접문의안내,62
지금바로처리,63
챗봇운영시간,64
클레임접수,65
해결불가건,66
임직원몰안내,67
임직원몰이동방법,68
임직원몰혜택,69
임직원포인트안내,70
복지포인트,71
할인포인트,72
임직원할인포인트가,73
임직원인증방법,74
챗봇의존재,75
챗봇취미,76
챗봇성격,77
챗봇거주지,78
챗봇가족,79
챗봇별명,80
챗봇연봉,81
오픈베타버전,82
챗봇지능,83
챗봇생일,84
챗봇이름,85
인공지능,86
푸디이름뜻,87
잘지냈니,88
챗봇애인,89
챗봇성별,90
챗봇나이,91
챗봇키,92
챗봇몸무게,93
챗봇외모,94
챗봇좋아하는음식,95
챗봇싫어하는음식,96
회사위치,97
이달의기획전안내,98
타사문의,99
유제품가정배달,100
회사연락처,101
동원홈페이지,102
동원몰홈페이지,103
동원소개,104
대표이사안내,105
동원몰소개,106
동원몰앱안내,107
입점문의,108
동원몰상품문의,109
동원몰매출,110
전체카테고리안내,111
동원입사,112
임박상품,113
특가상품,114
GNC상품추천,115
천지인상품추천,116
럭키딜,117
만원의행복,118
코스트코구매혜택,119
동원브랜드및상품소개,120
참치상품안내,121
동원참치원산지,122
만두상품안내,123
리챔상품안내,124
쎈쿡상품안내,125
김치상품안내,126
샘물상품안내,127
동원몰베스트상품소개,128
카테고리베스트안내-가공.즉석.냉동,129
카테고리베스트안내-유아동.도서,130
카테고리베스트안내-가전.사무.디지털,131
카테고리베스트안내-모바일쿠폰,132
카테고리베스트안내-코스트코,133
카테고리베스트안내-김치.반찬.소스,134
카테고리베스트안내-쌀.과일.채소.견과,135
카테고리베스트안내-수산,136
카테고리베스트안내-축산,137
카테고리베스트안내-건식.다이어트,138
카테고리베스트안내-생활,139
카테고리베스트안내-주방,140
카테고리베스트안내-화장품.바디.헤어,141
동원몰강점,142
농담,143
증시,144
날짜및시간,145
뭐먹었어,146
음식추천,147
뭐해,148
사랑해,149
심심해,150
시사상식,151
주문절차안내,152
주문내용확인,153
주문상품변경,154
주문후주소지변경,155
비회원주문,156
여러상품주문,157
대량주문안내,158
품절일시품절상품구입,159
상품가격차이,160
주문취소방법안내,161
결제방법안내,162
휴대폰결제안내,163
무이자신용카드,164
결제방법변경,165
입금확인안내,166
입금자명불일치안내,167
공인인증서의무사용안내,168
현금결제방법안내,169
결제지연경우안내,170
적립금안내,171
적립금결제안내,172
적립금소멸안내,173
쿠폰안내,174
쿠폰결제안내,175
쿠폰소멸안내,176
받을수있는쿠폰안내,177
씨앗안내,178
씨앗결제안내,179
씨앗소멸안내,180
씨앗양도안내,181
씨앗적립수변동,182
씨앗적립시기,183
씨앗적립방법,184
적립금사용환원안내,185
쿠폰사용환원안내,186
씨앗사용환원안내,187
교환요청,188
교환정책,189
교환회수날짜지정,190
다른상품교환,191
반품요청,192
비회원반품,193
반품절차,194
일부취소반품,195
반품주소문의,196
환불요청,197
취소반품여부,198
환불소요기간,199
환불절차,200
묶음배송,201
밴드배송안내,202
쿨밴드배송안내,203
배송비부담기준안내,204
반품배송비안내,205
배송정책,206
도서산간지역배송,207
비회원배송확인,208
무료배송안내,209
배송일지정불가안내,210
배송기간안내,211
배송누락,212
상품수령후발송완료문자,213
상품문의,214
동원선물세트특판,215
price_present_b1,216
양반명품김치상품권등록,217
임직원복지포인트미지급,218
튀김거품튀는이유,219
쨈색변하는이유,220
신규가입혜택다운,221
로그인방법,222
프리미엄등급회원혜택,223
프리미엄등급기준안내,224
패밀리등급회원혜택,225
인증완료했어요,226
택배사문의,227
참치통조림기름섭취,228
VIP등급기준안내,229
GNC선물세트특판,230
양반명품김치상품권안내,231
아직인증못했어요,232
쎈쿡용기환경호르몬,233
리챔내용물쉽게꺼내는방법,234
골드등급기준안내,235
VIP등급회원혜택,236
패밀리등급기준안내,237
천지인선물세트특판,238
회원가입안내,239
자연한입고구마하얀가루,240
동원천지인백수오사용,241
price_present_b3,242
임산부참치통조림,243
price_present_b5,244
price_present_o5,245
어린이홍삼안전성,246
골드등급회원혜택,247
거절,248
욕설및비속어,249
이미회원인경우,250
