dialog_node,node_detail,text,parent,condition
0,0,지금까지 동원몰 인공지능 상담사였습니다!  더 나은 동원몰이 되겠습니다. 즐거운 쇼핑되세요~ 감사합니다.,default,END
1,0,고객님 죄송합니다 저의 답변에 많이 실망하셨나요?<br>베타 서비스 기간 열심히 학습해서 고객님께 더욱 유용한 서비스로 곧 찾아뵙겠습니다.,default,END
1,0,고객님 저의 답변에 많이 실망하셨죠? 죄송합니다<br>열심히 학습해서 고객님께 만족스러운 답변을 드릴 수 있도록 노력하겠습니다.,default,END
2,0,아직은 공부해야 될 부분이 많지만 최선을 다하고 있어요!<br>지켜봐 주세요,default,seq
2,0,아직은 학습해야 할 내용이 많지만 열심히 노력하고 있답니다!<br>기대해주세요~,default,seq
2,0_0,지금까지 동원몰 인공지능 상담사였습니다!  더 나은 동원몰이 되겠습니다. 즐거운 쇼핑되세요~ 감사합니다.,default,END
3,0,고객님이 웃으시니 저도 행복하네요!,default,END
3,0,고객님이 웃으시니 저도 웃음이 나네요!,default,END
3,0,웃으면 복이 온대요!,default,END
3,0,미소가 참 아름다우시네요~,default,END
3,0,웃으니까 훨씬 더 멋지세요!,default,END
3,0,고객님이 웃으시니 저도 기분이 좋아요~,default,END
4,0,괜찮아요 고객님!,default,END
4,0,괜찮습니다 고객님~,default,END
4,0,그럴수도 있죠! 괜찮답니다.,default,END
5,0,감사합니다 고객님!<br> 더 열심히 할게요! 지켜봐주세요~,default,END
5,0,감사해요 고객님~<br> 더 열심히 배우겠습니다!,default,END
5,0,감사합니다 고객님!<br> 더 나은 서비스로 찾아뵐게요~,default,END
6,0,그러세요?<br>제가 무엇을 도와드리면 좋을까요? 말씀해주세요~,default,END
6,0,그러시군요~<br>제가 무엇을 도와드리면 좋을까요? 말씀해주세요~,default,END
7,0,고객님이 기분 좋으시면 저도 좋아요!,default,END
7,0,저두요! ^____^,default,END
7,0,고객님이 기분 좋으시면 저도 좋답니다~,default,END
8,0,아직은 조금 어렵네요...<br>제가 더 열심히 학습할게요!,default,seq
8,0,네 아직은 조금 어려워요...<br>앞으로 더 열심히 학습해야겠어요!,default,seq
8,0_0,지금까지 동원몰 인공지능 상담사였습니다!  더 나은 동원몰이 되겠습니다. 즐거운 쇼핑되세요~ 감사합니다.,default,END
9,0,네 고객님!<br>푸디가 도와드릴게요~<br>문의가 있으신 경우 말씀해주세요.,default,END
9,0,고객님을 도와드리기 위해 푸디가 달려갈게요!<br>도움이 필요하신 부분을 말씀해주세요.,default,END
9,0,넵 푸디 여기 있습니다!<br>도움이 필요하신 부분을 말씀해주세요.,default,END
10,0,네! ^_____^<br>다른 문의가 있으시면 저에게 말씀해주세요.,default,END
10,0,네! ^_____^<br>다른 도움이 필요하시면 저에게 말씀해주세요.,default,END
10,0,네! ^_____^<br>문의가 더 있으시다면 저에게 말씀해주세요.,default,END
11,0,고객님 뭘 좀 아시는군요!<br>^_____^,default,END
11,0,맞아요! 정말 그래요!,default,END
12,0,떴다 떴다 비행기~<br>날아라 날아라~<br>여기까지만 할게요!<br>부끄럼이 많아서...,default,END
12,0,고객님 제가 타고난 음치라서요...<br>다음에 연습하고 불러드릴게요!,default,END
12,0,고객님 제가 수줍음이 많아서요...<br>노래부르기 대신 고객님의 문의에 답변해드릴게요!,default,END
13,0,"고객님 모바일쿠폰에 대해 문의주셨네요~ <br>제가 바로 답변해드리고 싶지만, 인공지능인 저에겐 아직 조금 어려운 내용이네요~ <br> 해당 상품페이지의 상품Q&A 또는 1:1맞춤상담 게시판에 문의글을 남겨주시거나, 동원몰 고객센터 1588-3745로 연락주시면 전문 상담원이 도와드리겠습니다!",default,END
14,0,주소를 몰라도 선물하기 뚝딱!<br>간편하게 모바일로 선물할 수 있는 기프티모아 동원 선물세트★<br>기프티모아 단독특가 상품을 구입하시면 15% 적립금 돌려 드림~,default,seq
14,0_0,"아래 버튼을 클릭하시면 동원 선물세트 기프티모아 페이지로 이동합니다!<br>이번 추석에는 쉽고 빠른 기프티모아로 사랑을 널리 널리 퍼트려보아요♡<br><a href='javascript:window.parent.postMessage(\""http://www.dongwonmall.com/display/plan.do?seq=00000000877\"",\""*\"")'><button class=\""ext_btn\"" type=\""button\"">기프티모아 선물하기!</button></a>",default,END
15,0,"회원정보변경을 원하시나요?<br> 동원몰 메인 페이지 상단의 [MY동원몰]을 클릭해주세요.<br>[MY동원몰] 페이지로 이동하신  후 좌측 메뉴 [회원정보 관리]에서 수정을 원하시는 메뉴를 선택해주세요.<br>해당 항목 수정하신 후<br>[저장]버튼을 클릭해주시면 완료됩니다.<br>단, 회원 ID는 변경하실 수 없습니다.<br><br><a href='javascript:window.parent.postMessage(""https://www.dongwonmall.com/mypage/main.do"",""*"")'>
<button class=""ext_btn"" type=""button"">MY 동원몰</button></a>",default,END
16,0,"고객님<br>주민등록증의 이름이 변경된 경우 재가입하실 필요 없으며 동원몰 고객센터 1:1 맞춤상담이나 콜센터 1588-3745로 <font style=""color:red"">개명되신 성함</font>과 <font style=""color:red"">주민등록증 발급일자 8자리</font>를 알려주시면 본인 확인 과정을 거쳐 수정해드립니다.<br><br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/customer/counsel.do"",""*"")'>
<button class=""ext_btn"" type=""button"">고객센터 - 1:1 맞춤상담</button></a>",default,END
17,0,"고객님 광고메일 수신을 원치 않으실 경우, 로그인 후 [My 동원몰 - 개인정보변경] 페이지에서 설정을 하실 수 있습니다.<br>기본 정보 입력란의 메일수신여부 항목에서 '수신하지않음'으로 변경하시면 더 이상 정보메일을 보내드리지 않습니다.<br><br><a href='javascript:window.parent.postMessage(""https://www.dongwonmall.com/mypage/member/myInfo.do"",""*"")'>
<button class=""ext_btn"" type=""button"">MY 동원몰 - 개인정보변경</button></a>",default,END
18,0,"고객님 아래의 버튼을 클릭하시면 회원 등급조건과 등급별 혜택을 확인하실 수 있는 페이지로 이동합니다!<br><br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/benefit/member.do"",""*"")'>
<button class=""ext_btn"" type=""button"">회원 등급 보러가기</button></a>",default,seq
18,0_0,또는 확인하시고 싶은 등급을 입력창에 입력해주시면 해당 등급의 등급조건과 등급혜택을 안내해드려요~,default,END
19,0,고객님 동원몰 회원등급 중 최고 등급은 'PREMIUM 프리미엄'입니다.,default,seq
19,0_0,"아래의 버튼을 클릭하시면 회원 등급조건과 등급별 혜택을 확인하실 수 있는 페이지로 이동합니다!<br><br><a href='javascript:window.parent.postMessage(\""http://www.dongwonmall.com/benefit/member.do\"",\""*\"")'>\n<button class=\""ext_btn\"" type=\""button\"">회원 등급 보러가기</button></a>",default,END
20,0,고객님 동원몰 회원등급 중 제일 낮은 등급은 'FAMILY 패밀리' 입니다.,default,seq
20,0_0,"아래의 버튼을 클릭하시면 회원 등급조건과 등급별 혜택을 확인하실 수 있는 페이지로 이동합니다!<br><br><a href='javascript:window.parent.postMessage(\""http://www.dongwonmall.com/benefit/member.do\"",\""*\"")'>\n<button class=\""ext_btn\"" type=\""button\"">회원 등급 보러가기</button></a>",default,END
21,0,동원몰 회원이 되시면 정말 많은 혜택을 누리실 수 있어요~<br>지금 바로 신규 가입하시면 쇼핑지원금 2천원 + 동원상품 10% 할인쿠폰을 드리구요~ <br>첫 구매하시면 10% 할인 슈퍼쿠폰을 또 드려요~,default,seq
